screen_name,text,favorite_count,retweet_count,url,id,Date,friends_count,followers_count,Post_Flag,Tweet_Flag,mediatype,Show,total_engagements,Author Type,Final Tagging,image_url,spend_level,subproperty
foxsoultv,Need a date idea The Maverick Movie Marathon is here xfx9fxa5xb3 xe2x81xanxe2x81xanDont miss it each and every Saturday at 3p/12p PT ONLxe2x8xa6 https://tco/bxgh3qHBRO,3,2,www.twitter.com/foxsoultv/status/1567635295268474881,'1567635295268474881,9/7/2022 0:00,494,6548,Post,Main,,Fox Soul,5,Show Page,Owned,,,
FoxSoulsBlkRpt,Its a little more than two months before the midterms and Democrats are hoping for an upset win in Kentucky Charles Booker Kentuckys Democratic Nominee and hes joining us on Fox Souls Black Report to tell us why hes the man for the job #foxsoulsblackreport @Booker4KY https://tco/wnNun9qZ6a,3,2,www.twitter.com/FoxSoulsBlkRpt/status/1567987903376277504,'1567987903376277504,9/8/2022 0:00,,,Post,Main,photo,Fox Soul,5,,Organic,http://pbs.twimg.com/media/FcKcrs7aUAATlIp.jpg,,
IBC_Yoh,Damn bruh you aint gonna call her so smart and intelligent like you did that coven of cr4cker fellating swirlers you was kicking it with on fox soul boss,4,1,www.twitter.com/IBC_Yoh/status/1568625043823009792,'1568625043823009792,9/10/2022 0:00,,,Post,Main,,Fox Soul,5,,Organic,,,
FredaFiredUp,Im ALWAYS happy to see Cyn G in anything and thoroughly enjoyed her on Fox Soul yesterday Please keep her as a guest panelist,4,1,www.twitter.com/FredaFiredUp/status/1568356300429443072,'1568356300429443072,9/9/2022 0:00,,,Post,Main,,Fox Soul,5,,Organic,,,
QuianaWatson_,What happens when the Alpha Woman meets her match For the first time EVER my Husband @anthonywatson_develops and I will be on a panel together discussing business and relationships at @cheministrylive relationship panel with @foxsoul Get your tickets today Guaranteed to https://tco/vzsHChlCuH,4,1,www.twitter.com/QuianaWatson_/status/1567616910786715648,'1567616910786715648,9/7/2022 0:00,,,Post,Main,photo,Fox Soul,5,,Organic,http://pbs.twimg.com/media/FcFLRdLX0Ac1woK.jpg,,
TeeZeroHero,Its insane that she was invited on Fox Soul They by proxy are enemies too,4,0,www.twitter.com/TeeZeroHero/status/1568280255504211970,'1568280255504211970,9/9/2022 0:00,,,Post,Main,,Fox Soul,4,,Organic,,,
foxsoultv,Each and every Thursday @TheOnlyJasonLee catches up with Hollywoods Hottest to learn a little more and even unlock a few secrets Make sure you catch an encore presentation of #HollywoodUnlocked with Jason Lee: Uncensored TONIGHT at 8p/5p PT only on FOX SOUL https://tco/HxUB7Rygc6,3,1,www.twitter.com/foxsoultv/status/1567917184306872322,'1567917184306872322,9/8/2022 0:00,,,Post,Main,video,Fox Soul,4,Show Page,Owned,http://pbs.twimg.com/ext_tw_video_thumb/1567916957113917443/pu/img/AI_4yS1_noWS6256.jpg,,
RHS76,@The1stLadyLove Makes us ask why is Fox Soul is on the air and giving free reign to heifers like her What a self-hating broad,3,1,www.twitter.com/RHS76/status/1568298935180984321,'1568298935180984321,9/9/2022 0:00,,,Post,Main,,Fox Soul,4,,Organic,,,
foxsoultv,You know our sis @TheRealTsMadison loves to TURN THINGS OUT and tonight is no different You never know what we might get into Come get #TurntOut with an encore episode TONIGHT at 9p/6p PT right after #TeaGIF only on FOX SOUL #LinkInBio https://tco/aUdaqxkhSp,3,1,www.twitter.com/foxsoultv/status/1567556053910405122,'1567556053910405122,9/7/2022 0:00,,,Post,Main,video,Fox Soul,4,Show Page,Owned,http://pbs.twimg.com/ext_tw_video_thumb/1567555828839768065/pu/img/VzdYqLYUVaZooDY6.jpg,,
RunCMFlee,@dwannb held down the crown on FOX soul Why did they get Synthetic G  a TS named Giselle though  In a conversation about Black men  Black women,2,1,www.twitter.com/RunCMFlee/status/1567934530694037504,'1567934530694037504,9/8/2022 0:00,,,Post,Main,,Fox Soul,3,,Organic,,,
